スポット名,名称カナ,郵便番号,都道府県,市区町村,住所１,住所２,緯度,経度,詳細,営業時間,定休日,駐車場,平均予算,電話番号,URL
魚幸,うおこう,424-0205,静岡県,静岡市清水区,興津本町17-1,,35.049481,138.519288,創業100年を超える老舗の鮮魚店。由比の定置網で獲れたしずまえ鮮魚は、鮮度の良さに絶対の自信があります。売り切れご免！午前中のご来店をお勧めします。お客様のご要望に応じて捌きも承っております。,10:00～14:00（売り切れ次第終了）,日曜日　月曜日,,,054-369-0403,
【重複・削除】割烹旅館 岡屋,かっぽうりょかん　おかや,424-0205,静岡県,静岡市清水区,興津本町6,,35.049659,138.520127,江戸時代慶応年間創業の老舗旅館。健康志向だった家康が好んで食べた興津鯛をはじめ、鮮度抜群のしずまえ鮮魚を使った伝統の和風創作料理が自慢です。(興津鯛は要予約）,予約制,月曜日,有,,054-369-0018,
味彩 そ乃田,,424-0817,静岡県,静岡市清水区,銀座10-3,,35.019171,138.485422,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-365-1612,
魚やす,,424-0817,静岡県,静岡市清水区,銀座14-12,,35.019076,138.484403,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-364-4523,
割烹若ざわ 富海亭,,424-0904,静岡県,静岡市清水区,駒越中1-17-38,,34.977067,138.500164,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-335-2225,
ヒバリヤ駒越店,ひばりやこまごえてん,424-0904,静岡県,静岡市清水区,駒越北町8-1,ベイドリーム清水1F,34.985352,138.49938,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,10:00～21:00,無し,あり,,054-334-0500,
(有) 魚しず,,424-0853,静岡県,静岡市清水区,月見町2-8,マルキフード内,35.003784,138.481593,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-352-2234,
凧,,424-0818,静岡県,静岡市清水区,江尻町10-7,,35.02049,138.481689,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-364-6262,
魚正,,424-0815,静岡県,静岡市清水区,江尻東2-5-25,,35.02214,138.4843,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-0199,
末廣鮨,,424-0815,静岡県,静岡市清水区,江尻東2-5-28,,35.022129,138.484617,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-366-6083,
魚伴,,424-0943,静岡県,静岡市清水区,港町1-2-12,,35.008078,138.491389,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-352-0809,
魚馬,,424-0943,静岡県,静岡市清水区,港町2-7-22,,35.008217,138.492975,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-352-0246,
魚進,,424-0041,静岡県,静岡市清水区,高橋1-4-12,,35.029522,138.474598,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-367-0535,
魚魚六,,424-0041,静岡県,静岡市清水区,高橋4-10-7,,35.027667,138.473137,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-366-2041,
清栄寿司,,424-0901,静岡県,静岡市清水区,三保3581,,35.006922,138.520574,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-334-0704,
みどり寿司三保支店,,424-0901,静岡県,静岡市清水区,三保664-5,,35.003237,138.511014,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-334-3551,
そば処 鐘庵 清水三保総本店,,424-0901,静岡県,静岡市清水区,三保92-11,,35.000259,138.516864,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-334-1151,
魚茂,,424-0801,静岡県,静岡市清水区,秋吉町2-63,,35.03048,138.482558,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-364-3311,
志乃ぶ鮨,,424-0053,静岡県,静岡市清水区,渋川2-2-12,,35.018248,138.46949,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-347-3383,
ふるさと,,424-0842,静岡県,静岡市清水区,春日1-8-12,,35.011419,138.471724,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-351-1838,
おさかな工房魚清,,424-0812,静岡県,静岡市清水区,小芝町1-18,,35.02237,138.483703,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-366-1719,
居酒屋 しん吉,,424-0812,静岡県,静岡市清水区,小芝町4-41,,35.023609,138.481536,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-367-2023,
日出寿司,,424-0935,静岡県,静岡市清水区,沼田町6-2,,34.997948,138.484337,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-335-2580,
梅久,,424-0827,静岡県,静岡市清水区,上1-12-3,,35.010661,138.485514,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-352-1088,
芳川,,424-0871,静岡県,静岡市清水区,上原1-2-20,,35.011132,138.459033,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-345-7522,
いさみ寿司,,424-0835,静岡県,静岡市清水区,上清水町1-6,,35.01198,138.483906,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-352-4255,
魚しん,,424-0835,静岡県,静岡市清水区,上清水町3-4,,35.010705,138.484214,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-353-2565,
Asian Bar海蛇,,424-0856,静岡県,静岡市清水区,上力町3-11,,34.997243,138.479429,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-334-8282,
カクサン魚廣,,424-0856,静岡県,静岡市清水区,上力町3-11,,34.997243,138.479429,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-335-3355,
炉ばた 居酒屋 福助,,424-0816,静岡県,静岡市清水区,真砂町1-13,,35.022687,138.488661,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-364-8181,
居酒屋てんちょう,,424-0816,静岡県,静岡市清水区,真砂町1-52,,35.019321,138.487889,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-361-0220,
(株)みかみ,,424-0816,静岡県,静岡市清水区,真砂町1-53,,35.019221,138.487822,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-364-2200,
酒呑処 樽彦,,424-0816,静岡県,静岡市清水区,真砂町2-13,,35.02224,138.488305,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-367-1787,
清水 十千花前,しみずじゅっせんかぜん,424-0816,静岡県,静岡市清水区,真砂町2-24,,35.022676,138.488161,毎日由比港より直接しずまえ鮮魚が届きます。,11:30～14:30 17:30～22:30,無し,無し,,054-365-8808,
銀座酒場 こさむ,,424-0816,静岡県,静岡市清水区,真砂町5-16,,35.021073,138.487897,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-366-6505,
味楽亭 はしもと,,424-0816,静岡県,静岡市清水区,真砂町6-23,,35.020532,138.487875,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-366-5867,
矢入魚店,,424-0816,静岡県,静岡市清水区,真砂町6-25,,35.020823,138.487889,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-365-3373,
居酒屋 ぽれぽれ,,424-0816,静岡県,静岡市清水区,真砂町6-4,,35.02074,138.488272,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-364-6670,
誠寿し,まことずし,424-0852,静岡県,静岡市清水区,神田町18-19,,35.003284,138.477201,清水の新鮮なお魚をリーズナブルなお値段で楽しめます。,11:30～14:00、17:00～23:00,木曜日,あり（８台）,,054-353-3669,
かねせん魚店,,424-0947,静岡県,静岡市清水区,清水町8-15,,35.006239,138.489822,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-352-0244,
鮨海席 むら上,,424-0038,静岡県,静岡市清水区,西久保1-14-26,,35.033861,138.483339,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-366-0770,
魚忠,,424-0038,静岡県,静岡市清水区,西久保1-5-5,,35.031853,138.483097,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-2394,
魚福,,424-0038,静岡県,静岡市清水区,西久保19-1,,35.038965,138.479883,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-364-8421,
とりきん 東名インター店,,424-0038,静岡県,静岡市清水区,西久保35-20,,35.038927,138.481067,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-363-6336,
大武,,424-0844,静岡県,静岡市清水区,西高町11-4,,35.006616,138.473354,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-353-5528,
田なべ,,424-0046,静岡県,静岡市清水区,西大曲町1-3,,35.018407,138.474365,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-366-4324,
ヒバリヤ折戸店,ひばりやおりどてん,424-0902,静岡県,静岡市清水区,折戸1-6-10,,34.984552,138.507777,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,9:30～19:00,無し,あり,,054-334-0938,
するが寿し,,424-0902,静岡県,静岡市清水区,折戸2-13-5,,34.98993,138.51209,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-334-6687,
我家我家,,424-0902,静岡県,静岡市清水区,折戸510-6,,34.995549,138.514789,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-336-2124,
鮮魚しみず,,424-0828,静岡県,静岡市清水区,千歳町5-1,,35.014827,138.485928,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-352-7350,
船越寿し安,,424-0865,静岡県,静岡市清水区,船越3-5-43,,35.000159,138.470935,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-352-3320,
六六魚,,424-0862,静岡県,静岡市清水区,船越東町238-2,,35.003386,138.471218,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-351-1583,
河岸 和正,,424-0821,静岡県,静岡市清水区,相生町1-3,,35.018465,138.487539,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-352-8825,
割烹 千年成,,424-0821,静岡県,静岡市清水区,相生町2-24,,35.017418,138.487653,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-352-1269,
酒蔵 たから屋,,424-0821,静岡県,静岡市清水区,相生町2-30,,35.016852,138.48765,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-352-5055,
八十八,,424-0821,静岡県,静岡市清水区,相生町3-22,,35.01671,138.487894,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-362-6749,
季節料理 亀八,きせつりょうり　かめはち,424-0821,静岡県,静岡市清水区,相生町9-17,,35.016971,138.488866,南鮪、地魚おすすめ店,,,,,054-352-2747,
食彩空間・だいご味,しょくさいくうかん・だいごみ,424-0104,静岡県,静岡市清水区,草ヶ谷343,,35.049828,138.484899,だいご味といえばとにかくお刺身！！毎日厳選した食材を支入れているため鮮度も味も抜群！ぜひどうぞ！,17:30～23:00,月曜日,6台,,054-366-5446,
草薙 茄兵衛,くさなぎなすべえ,424-0886,静岡県,静岡市清水区,草薙1-26-18,,35.00386,138.448645,毎日由比港より直接しずまえ鮮魚が届きます。,11:30～14:30 17:30～23:00,無し,２０台,,054-348-8788,
大衆割烹 もちづき,,424-0886,静岡県,静岡市清水区,草薙1-6-1,,35.00183,138.442593,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-345-1194,
たくちゃん,,424-0886,静岡県,静岡市清水区,草薙1-6-7,,35.00166,138.442523,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-346-4257,
海鮮酒場 浜ちゃん,,424-0886,静岡県,静岡市清水区,草薙1-8-16,,35.002333,138.442854,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-345-1686,
魚新,,424-0886,静岡県,静岡市清水区,草薙1-8-20,,35.002469,138.442818,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-345-7631,
(株)魚竹寿し,,424-0886,静岡県,静岡市清水区,草薙122,,35.000055,138.445996,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-345-8268,
酒菜屋IKEGAMI,,424-0886,静岡県,静岡市清水区,草薙2-2-3,,35.00766,138.450131,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-345-1115,
ミズリアソマカ,,424-0886,静岡県,静岡市清水区,草薙2-27-19,,35.003358,138.443984,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-368-7907,
大内寿司支店,,424-0886,静岡県,静岡市清水区,草薙2-3-2,,35.007849,138.449951,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-345-6697,
ふじ川食堂,,424-0886,静岡県,静岡市清水区,草薙2-4-9,,35.006971,138.449609,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-345-7754,
(有)ザ・サンキュー,,424-0037,静岡県,静岡市清水区,袖師1084,,35.03523,138.492182,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-5288,
袖師 寿し鐵,,424-0037,静岡県,静岡市清水区,袖師517-1,,35.036752,138.489807,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-365-5233,
栄寿司,,424-0926,静岡県,静岡市清水区,村松1-4-52,,34.994074,138.492517,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-335-4015,
町屋飛脚,,424-0847,静岡県,静岡市清水区,大坪1-8-17,,35.011221,138.466346,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-347-1234,
千代田吉野寿司 高部店,,424-0062,静岡県,静岡市清水区,大内新田13-5,,35.026936,138.457808,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-344-2511,
活火山,,424-0888,静岡県,静岡市清水区,中之郷1-4-11,,34.99738,138.438338,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-347-8088,
四季食彩 吉おか,,424-0888,静岡県,静岡市清水区,中之郷2-1-8,,35.001374,138.440751,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-346-8551,
Hirozushi,,424-0854,静岡県,静岡市清水区,中矢部町1-11,,35.000981,138.480012,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-351-0191,
魚勝,,424-0065,静岡県,静岡市清水区,長崎713-3,,35.015412,138.442293,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-347-1315,
追分奴すし,,424-0841,静岡県,静岡市清水区,追分1-5-10,,35.015876,138.473468,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-365-4636,
伸,,424-0806,静岡県,静岡市清水区,辻1-1-20,,35.024842,138.488316,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-367-8171,
いわし料理 善,,424-0806,静岡県,静岡市清水区,辻1-1-23,,35.024962,138.488341,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-367-9601,
呑喰栄時,,424-0806,静岡県,静岡市清水区,辻1-7-28,,35.028345,138.489086,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-364-6078,
若竹,,424-0806,静岡県,静岡市清水区,辻2-2-5,,35.025592,138.486355,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-365-6571,
富士屋,,424-0912,静岡県,静岡市清水区,殿沢2-1-10,,34.980019,138.492639,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-335-0092,
寿司特急まぐろ屋,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-355-3950,
清水江戸銀,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-352-9622,
壱平,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-351-8177,
みやもと,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-351-9141,
のっけ家,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-355-5077,
まぐろや やす兵衛,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-355-5152,
おがわ,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-352-0202,
バンノウ水産,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-355-1281,
岸家,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-352-0141,
一期,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-352-1117,
どん福,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-352-0010,
四代目くま吉,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-355-5533,
ととすけ,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-368-7364,
大間新栄丸,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-352-7833,
海山,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-351-1223,
丼兵衛,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-353-5544,
魚市場食堂,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-351-7113,
馬鹿貝,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-355-5252,
漁協食堂 はまや,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-351-3003,
カネイ水産,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-351-8510,
丸兼水産,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-353-1761,
海里,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-355-3615,
魚彩,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-355-5031,
鰹工房,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-351-8355,
ふかくら,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-353-6811,
魚萬,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-351-8005,
みかみ,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-353-7722,
マルイチ,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-355-5566,
魚久,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-353-6866,
いちまる苑,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-335-6628,
水産商協河岸の市店,,424-0823,静岡県,静岡市清水区,島崎町149,,35.020324,138.490647,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-353-2500,
河岸,,424-0823,静岡県,静岡市清水区,島崎町2-17,,35.018777,138.488308,美味しいしずまえ鮮魚を食べるならココ！,,,,,054-353-0677,
のみくいや 呑,,424-0823,静岡県,静岡市清水区,島崎町5-25,,35.019076,138.489325,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-353-8282,
(有)魚大,,424-0045,静岡県,静岡市清水区,東大曲町2-7,,35.019723,138.475823,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-3819,
がたろう寿司,,424-0851,静岡県,静岡市清水区,堂林1-3-9,,35.006719,138.476093,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-351-2456,
めしやくうべえ,,424-0851,静岡県,静岡市清水区,堂林2-16-13,,35.004333,138.476135,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-353-6050,
玉川寿司 草薙支店,,424-0882,静岡県,静岡市清水区,楠新田217-8,,35.006696,138.443848,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-346-4268,
かね田食堂,,424-0831,静岡県,静岡市清水区,入江1-1-23,,35.01729,138.484859,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-364-8446,
(株)清水洞江水産,,424-0831,静岡県,静岡市清水区,入江1-4-16,,35.017432,138.48207,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-8355,
楠楼,,424-0831,静岡県,静岡市清水区,入江1-9-21,,35.018668,138.481559,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-366-5287,
地酒旬肴 駿河丸,,424-0831,静岡県,静岡市清水区,入江2-1-10,,35.017476,138.480212,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-376-4428,
魚虎本店,,424-0831,静岡県,静岡市清水区,入江2-2-20,,35.017229,138.479137,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-0871,
魚虎寿司,,424-0831,静岡県,静岡市清水区,入江２－２－２１,,35.017218,138.479031,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-366-7233,
(株)魚市,,424-0831,静岡県,静岡市清水区,入江3-1-30,,35.018515,138.477723,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-364-3830,
まぐろ寿司,,424-0831,静岡県,静岡市清水区,入江3-6-18,,35.017923,138.476337,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-366-0693,
魚作,,424-0831,静岡県,静岡市清水区,入江3-8-14,,35.016232,138.47654,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-366-0718,
生駒寿し,,424-0839,静岡県,静岡市清水区,入江岡町11-22,,35.013744,138.479879,しずまえ鮮魚を美味しいお寿司で食べるならここ！,,,,,054-351-1711,
さかなやのぶちゃん,,424-0942,静岡県,静岡市清水区,入船町13-15,,35.010586,138.49293,美味しい『しずまえ鮮魚』を始めとした水産物を買うならココ！,,,,,054-354-3360(ドリームプラザ代表),
日本初の流れ鮨 沼津魚がし鮨清水ドリームプラザ店,,424-0942,静岡県,静岡市清水区,入船町13-15(ｴｽﾊﾟﾙｽﾄﾞﾘｰﾑﾌﾟﾗｻﾞすし横丁内),,35.010775,138.492919,沼津港直送の新鮮なおいしさをあなたに。 「安い、新鮮、大きい、おいしい」。 これも沼津漁港のセリ権を持っているからできること。江戸前感覚の美味と粋の一体を楽しめる回転鮨処。 最新式タッチパネルのオーダーシステムを導入平日のみ、お席のご予約も承ります。,11:00～21:00,年中無休,"契約駐車場を含めて約1,600台",,054-355-0212,http://www.dream-plaza.co.jp/gourmet/detail.php/55
清水港さかなや,,424-0942,静岡県,静岡市清水区,入船町13-15(ｴｽﾊﾟﾙｽﾄﾞﾘｰﾑﾌﾟﾗｻﾞすし横丁内),,35.010775,138.492919,市場直送の「肴(さかな)」と「マグロ」を使用した豪快なメニューが勢ぞろい。刺身の盛り付けも、寿司も、全てが豪快！ネタの鮮度にも自信があります。,11:00～21:00,年中無休,"契約駐車場を含めて約1,600台",,054-354-3711,http://www.dream-plaza.co.jp/gourmet/detail.php/56
清水みなと漁師丼の店,,424-0942,静岡県,静岡市清水区,入船町13-15(ｴｽﾊﾟﾙｽﾄﾞﾘｰﾑﾌﾟﾗｻﾞすし横丁内),,35.010775,138.492919,清水港で水揚げされたネタを中心に新鮮な丼をご提供いたします。鮮度・ボリューム共に大満足の丼をぜひお召し上がりください。,11:00～21:00,年中無休,"契約駐車場を含めて約1,600台",,054-354-3360(ドリームプラザ代表),http://www.dream-plaza.co.jp/gourmet/detail.php/57
天然地魚ながの,,424-0942,静岡県,静岡市清水区,入船町13-15(ｴｽﾊﾟﾙｽﾄﾞﾘｰﾑﾌﾟﾗｻﾞすし横丁内),,35.010775,138.492919,地元清水の魚屋から厳選したネタを仕入れ、生の素材にこだわった商品をご提供いたします。1貫からでもお召し上がりいただけます。店主の粋な計らいと、おいしい寿司をカウンター席でぜひお楽しみください。,11:00～21:00,年中無休,"契約駐車場を含めて約1,600台",,054-354-3360(ドリームプラザ代表),http://www.dream-plaza.co.jp/gourmet/detail.php/58
朝獲れ回転寿司のぶちゃん,,424-0942,静岡県,静岡市清水区,入船町13-15(ｴｽﾊﾟﾙｽﾄﾞﾘｰﾑﾌﾟﾗｻﾞすし横丁内),,35.010775,138.492919,活きのいい寿司、まわしています！朝獲れの新鮮な駿河湾の幸を使った「朝獲れ握り」、「まぐろミニ丼」「まぐろ３貫握り」が一押しです。平日は、生桜えび・生しらすが入ったセットメニューもございます。,11:00～21:00,年中無休,"契約駐車場を含めて約1,600台",,054-353-5681,http://www.dream-plaza.co.jp/gourmet/detail.php/59
勇喜寿司,,424-0942,静岡県,静岡市清水区,入船町13-15(ｴｽﾊﾟﾙｽﾄﾞﾘｰﾑﾌﾟﾗｻﾞすし横丁内),,35.010775,138.492919,駿河湾の美味しい地魚と全国各地からの厳選、特選ネタと、本店がある焼津からの極上天然南鮪をご用意して、お客様のご来店を心よりお待ちいたしております。 新鮮な天然の地の魚、極上南鮪は元より、いろいろな自家製の「塩」を使ったにぎり寿司も好評をいただいております。 白身魚など、その香る塩を使ったにぎり寿司を是非お楽しみいただきたいと思っております。,11:00～21:00,年中無休,"契約駐車場を含めて約1,600台",,054-355-1118,http://www.dream-plaza.co.jp/gourmet/detail.php/60
清水すし処 海,,424-0942,静岡県,静岡市清水区,入船町13-15(ｴｽﾊﾟﾙｽﾄﾞﾘｰﾑﾌﾟﾗｻﾞすし横丁内),,35.010775,138.492919,築地直送の本まぐろや新鮮な地物ネタに、納得ゆくまで手をかけてご提供。カウンター、テーブル、お座敷、迎賓ルームがご利用いただけます,11:00～21:00,年中無休,"契約駐車場を含めて約1,600台",,054-354-3700,http://www.dream-plaza.co.jp/gourmet/detail.php/61
御食事処 大漁市場,,424-0942,静岡県,静岡市清水区,入船町13-15(ｴｽﾊﾟﾙｽﾄﾞﾘｰﾑﾌﾟﾗｻﾞすし横丁内),,35.010775,138.492919,豊富な駿河湾の海の幸を寿司の逸品に、和食のひと品に形を替えて提供いたします。 ご家族やグループ様でも気軽にお食事頂けるゆとりのテーブル席です。 各種、ご宴会・パーティーなどにいかがですか？ 着席、立食など様々なお客様のご要望にお応えします。,11:00～21:00,年中無休,"契約駐車場を含めて約1,600台",,054-355-1622,http://www.dream-plaza.co.jp/gourmet/detail.php/62
一代 港橋店,,424-0942,静岡県,静岡市清水区,入船町6-4,,35.008836,138.491094,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-351-0555,
居酒屋 新生丸,,424-0829,静岡県,静岡市清水区,巴町10-29,,35.015841,138.487319,美味しい『しずまえ鮮魚』を食べるならココ！,,,,,054-352-3851,
